District,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
Blue Springs,1.2,1.4,1.1,1.1,1.5,1.5,0.9,1.1
Center,5.9,3.9,5,5,3.8,3.4,3,3.5
Clinton,2.1,0,0.4,0.1,0,0.1,0.4,0
Excelsior Springs,2.3,1.4,2,2.4,3,3.6,2.7,1.2
Fort Osage,0.7,1.2,0.8,1.2,2,1.6,1.5,1.7
Grain Valley,0.9,0.7,0.7,1,1.6,0.6,0.3,0.5
Grandview,1.3,1.5,1.2,1.1,1.2,0.4,0.3,0.6
Hickman Mills,3.3,3.1,4,3.8,3.5,2.7,7,4.4
Independence,2.3,2.6,2.4,2.6,1.7,1.1,1.6,0.8
KCPS,7.3,6,4.1,8.3,6.9,7.4,7.3,7.4
Kearney,0.8,0.6,0.7,0.8,0.8,0.7,0.5,1.1
Lawson,0.6,0.2,0.8,0.4,0.7,0.3,0.9,0.4
Lee's Summit,1.1,1.5,1.3,1,0.9,0.6,0.7,0.6
Lone Jack,0.5,0.2,0.2,0.2,0,0.2,0.4,0.7
North Kansas City,1.4,0.9,0.7,0.8,0.6,0.6,0.5,0.6
North Platte,0,0.3,0.5,0.2,0.5,0.5,0.5,0.2
Oak Grove,0.5,1.6,1.3,1.2,1.3,1.2,0.8,1
ParkHill,1.2,1.4,1.3,0.5,0.8,0.6,0.5,0.9
Platte,0.8,0.8,0.6,0.6,0.6,0.7,0.4,0.5
Raytown,3,2.4,2.9,2.6,0.8,0.7,0.7,0.9
Smithville,1,0.5,0.3,0.3,1,0.5,0.6,1.2
West Platte,0,0.2,0.2,0,0,0.9,0.3,0
Missouri,1.8,1.8,1.7,1.7,1.6,1.3,1.2,1.2
Blue Valley Unified School District 229,0.4,0.3,0.2,0.05,0.3,0.1,0.4,0.4
Bonner Springs Unified School District 204,3.3,1.5,1.6,0.78,0,1,3.8,4.8
Gardner Edgerton Unified School District 231,0.2,0,0,0.1,0.2,0,0.9,0.5
Kansas City Unified School District 500,2.4,2.2,2.7,4.88,3.6,3.7,4.2,4.3
Shawnee Mission Public Schools Unified School District,0.7,0.7,0.6,0.85,0.5,0.6,1,1
Spring Hill Unified School District 230,0.6,0.4,0,0.4,0.6,0.3,0.3,0.8
Turner Unified School District 202,1.2,3.8,4.3,3.41,4.3,3,3.7,4.9
Piper,1.8,2.4,0,0,1.5,1.4,0,1
Olathe,0.8,0.6,0.6,1.19,1.1,1,0.9,1.3
De Soto,1,0.7,0.7,0.7,0.8,0.7,0.3,0.5
